City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.3333,51.04,80,93,8.55, au,1626875931
punta arenas,-53.15,-70.9167,35.71,93,75,3.44, cl,1626875914
mahebourg,-20.4081,57.7,70.09,83,75,18.41, mu,1626875954
mackay,-21.15,149.2,60.04,87,0,5.75, au,1626875954
homer,59.6425,-151.5483,55.08,90,100,1.99, us,1626875955
tasiilaq,65.6145,-37.6368,41.59,91,97,3.47, gl,1626875956
lavumisa,-27.31,31.892,76.84,20,0,7.63, sz,1626875956
qasigiannguit,68.8193,-51.1922,41.0,82,97,4.85, gl,1626875957
eureka,40.8021,-124.1637,55.58,79,81,4.52, us,1626875752
male,4.1748,73.5089,85.95,74,75,14.97, mv,1626875958
carbonia,39.1672,8.5222,85.86,39,5,10.45, it,1626875958
orocue,4.7912,-71.3354,78.1,83,86,3.87, co,1626875959
longyearbyen,78.2186,15.6401,44.44,65,40,12.66, sj,1626875959
naze,28.3667,129.4833,77.56,91,100,27.02, jp,1626875960
ekibastuz,51.6667,75.3667,79.14,34,50,3.38, kz,1626875842
korla,41.7597,86.1469,90.25,21,95,4.16, cn,1626875961
yerbogachen,61.2767,108.0108,59.67,71,88,2.64, ru,1626875962
ugoofaaru,5.6667,73.0,83.34,76,100,14.67, mv,1626875963
georgetown,-7.9333,-14.4167,77.23,74,94,18.34, sh,1626875963
gouyave,12.1646,-61.7296,83.17,79,40,17.27, gd,1626875965
hilo,19.7297,-155.09,75.27,89,90,5.75, us,1626875966
piacabucu,-10.4056,-36.4344,79.3,67,25,10.96, br,1626875967
bredasdorp,-34.5322,20.0403,49.32,76,100,17.27, za,1626875967
vaini,-21.2,-175.2,73.56,94,20,5.75, to,1626875968
kieta,-6.2167,155.6333,78.46,87,52,6.38, pg,1626875968
tura,64.2833,100.25,61.34,65,98,4.7, ru,1626875969
ewa beach,21.3156,-158.0072,77.99,73,78,5.99, us,1626875969
fortuna,40.5982,-124.1573,55.33,73,90,1.01, us,1626875969
nikolskoye,59.7035,30.7861,72.39,34,70,9.26, ru,1626875971
rikitea,-23.1203,-134.9692,71.1,67,97,19.13, pf,1626875898
aranos,-24.1333,19.1167,59.02,31,0,8.03, na,1626875972
lompoc,34.6391,-120.4579,57.52,88,90,8.99, us,1626875943
srednekolymsk,67.45,153.6833,53.22,85,9,3.0, ru,1626875973
pekalongan,-6.8886,109.6753,76.01,83,40,1.36, id,1626875973
comodoro rivadavia,-45.8667,-67.5,39.06,81,0,1.14, ar,1626875974
hay river,60.8156,-115.7999,60.78,82,75,3.44, ca,1626875961
katsuura,35.1333,140.3,81.1,87,18,5.46, jp,1626875975
ahipara,-35.1667,173.1667,55.69,93,97,9.51, nz,1626875975
ushuaia,-54.8,-68.3,28.06,69,20,6.91, ar,1626875776
charagua,-19.8,-63.2167,68.68,22,100,4.12, bo,1626875976
andenes,69.3143,16.1194,50.07,87,90,20.71, no,1626875963
khatanga,71.9667,102.5,55.65,89,100,7.07, ru,1626875977
esperance,-33.8667,121.9,53.44,78,99,26.31, au,1626876352
cape town,-33.9258,18.4232,55.11,74,99,7.0, za,1626876353
constitucion,23.9912,-104.6749,60.13,84,100,8.01, mx,1626876354
batagay,67.6333,134.6333,56.89,69,98,5.37, ru,1626876355
tungor,53.3808,142.9564,64.92,84,57,14.76, ru,1626876355
kharagpur,22.3333,87.3333,87.35,73,100,1.95, in,1626876359
chuy,-33.6971,-53.4616,51.62,61,4,7.78, uy,1626876360
husavik,66.0449,-17.3389,63.54,57,21,2.57, is,1626876361
petropavlovsk-kamchatskiy,53.0452,158.6483,54.54,92,23,3.44, ru,1626876078
bluff,-46.6,168.3333,43.81,90,100,8.5, nz,1626876362
tuktoyaktuk,69.4541,-133.0374,60.12,68,6,9.69, ca,1626876364
qaanaaq,77.484,-69.3632,36.59,99,100,12.19, gl,1626876364
victoria,-4.6167,55.45,77.72,82,27,19.26, sc,1626876359
chokurdakh,70.6333,147.9167,43.12,81,46,6.53, ru,1626876367
kaitangata,-46.2817,169.8464,48.92,84,99,3.85, nz,1626876368
arraial do cabo,-22.9661,-42.0278,69.66,64,0,4.61, br,1626876369
carnarvon,-24.8667,113.6333,66.29,67,7,11.25, au,1626876089
bethel,41.3712,-73.414,77.65,82,23,5.75, us,1626876372
norman wells,65.282,-126.8329,66.2,57,87,6.17, ca,1626876373
east london,-33.0153,27.9116,65.34,16,0,20.71, za,1626876251
belaya gora,68.5333,146.4167,50.65,78,96,5.5, ru,1626876375
guerrero negro,27.9769,-114.0611,69.48,86,100,13.49, mx,1626876376
san cristobal,-0.9045,-89.6174,72.97,89,100,14.52, ec,1626876378
port lincoln,-34.7333,135.8667,50.07,65,100,18.57, au,1626876379
tilichiki,60.4667,166.1,51.13,85,93,4.74, ru,1626876380
rawson,-43.3002,-65.1023,51.12,73,100,13.29, ar,1626876381
mvuma,-19.2792,30.5283,73.18,20,1,9.53, zw,1626876382
namibe,-15.1961,12.1522,72.5,65,1,11.7, ao,1626876383
atuona,-9.8,-139.0333,77.43,69,100,20.45, pf,1626876383
kidal,18.4411,1.4078,95.56,29,100,20.4, ml,1626876384
oranjemund,-28.55,16.4333,57.07,53,0,19.3, na,1626876385
jamestown,-15.9387,-5.7168,65.66,75,82,21.09, sh,1626876386
torbay,47.6666,-52.7314,70.57,88,90,4.61, ca,1626876386
port blair,11.6667,92.75,82.2,84,100,22.68, in,1626876388
mount gambier,-37.8333,140.7667,44.51,100,90,8.05, au,1626876388
hermanus,-34.4187,19.2345,51.91,65,100,26.53, za,1626876389
alofi,-19.0595,-169.9187,75.49,77,100,19.48, nu,1626876391
port elizabeth,-33.918,25.5701,62.1,41,0,23.02, za,1626876295
mana,5.6592,-53.7767,84.67,69,10,7.34, gf,1626876392
hobart,-42.8794,147.3294,49.91,75,59,5.01, au,1626876393
hambantota,6.1241,81.1185,86.34,66,20,9.22, lk,1626876394
mar del plata,-38.0023,-57.5575,55.13,36,46,1.12, ar,1626876395
okha,53.5739,142.9478,63.91,85,91,14.07, ru,1626876395
brokopondo,4.75,-55.1667,82.02,72,31,3.94, sr,1626876396
villa rica,-10.7394,-75.2697,61.29,86,89,1.19, pe,1626876397
vestmannaeyjar,63.4427,-20.2734,52.72,92,100,6.13, is,1626876398
